ID,bought_id,sell_date,sell_price
1,1,2022-04-08,2
2,1,2022-04-08,2
3,1,2022-04-08,2
4,1,2022-04-08,2
5,1,2022-04-08,2
6,2,2022-04-08,2
7,2,2022-04-08,2
8,2,2022-04-08,2
9,2,2022-04-08,2
10,2,2022-04-13,2
11,3,2022-04-03,2
12,3,2022-04-03,2
13,3,2022-04-03,2
14,3,2022-04-03,2
15,3,2022-04-03,2
16,4,2022-04-03,2
17,4,2022-04-03,2
18,4,2022-04-03,2
19,4,2022-04-03,2
20,4,2022-04-03,2
21,5,2022-04-03,2
22,5,2022-04-03,2
23,5,2022-04-03,2
24,5,2022-04-03,2
25,5,2022-04-03,2
26,6,2022-04-03,2
27,6,2022-04-03,2
28,6,2022-04-03,2
29,6,2022-04-03,2
30,6,2022-04-03,2
31,7,2022-04-03,2
32,7,2022-04-03,2
33,7,2022-04-03,2
34,7,2022-04-03,2
35,7,2022-04-03,2
36,8,2022-04-03,2
37,8,2022-04-03,2
38,8,2022-04-03,2
39,81,2022-04-03,5
40,81,2022-04-03,5
41,81,2022-04-03,5
42,81,2022-04-03,5
43,81,2022-04-03,5
44,80,2022-04-03,5
45,87,2022-04-03,5
46,87,2022-04-03,5
47,89,2022-04-03,5
48,89,2022-04-03,5
49,89,2022-04-03,5
50,90,2022-04-03,5
51,90,2022-04-03,5
52,90,2022-04-03,5
53,90,2022-04-03,5
54,90,2022-04-03,5
55,89,2022-04-03,5
56,89,2022-04-03,5
57,87,2022-04-03,5
58,87,2022-04-03,5
59,87,2022-04-03,5
60,88,2022-04-03,5
61,88,2022-04-03,5
